"id","structure","reading","french","construction","example","example_reading","lesson","level","ready"
"g001","～は～です","～は～です","Identifier ou présenter quelqu’un ou quelque chose.","Nom A + は + nom B + です","わたしは学生です。／ Je suis étudiant.","わたしはがくせいです。／ Je suis étudiant.","1","N5","true"
"g002","～は～じゃありません","～は～じゃありません","Former la négation polie d’un nom.","Nom A + は + nom B + じゃありません","ミラーさんは医者じゃありません。／ M. Miller n’est pas médecin.","ミラーさんはいしゃじゃありません。／ M. Miller n’est pas médecin.","1","N5","true"
"g003","～は～ですか","～は～ですか","Poser une question polie.","Phrase + か","サントスさんは会社員ですか。／ M. Santos est-il employé ?","サントスさんはかいしゃいんですか。／ M. Santos est-il employé ?","1","N5","true"
"g004","～も～です","～も～です","Dire « aussi » avec la particule も.","Nom A + も + nom B + です","わたしも学生です。／ Moi aussi, je suis étudiant.","わたしもがくせいです。／ Moi aussi, je suis étudiant.","1","N5","true"
"g005","～は～の～です","～は～の～です","Exprimer l’appartenance ou le rattachement.","Nom A + は + nom B + の + nom C + です","わたしはIMCの社員です。／ Je suis employé d’IMC.","わたしはIMCのしゃいんです。／ Je suis employé d’IMC.","1","N5","true"
"g006","これ／それ／あれは～です","これ／それ／あれは～です","Désigner une chose proche du locuteur, de l’interlocuteur ou éloignée des deux.","これ／それ／あれ + は + nom + です","これは辞書です。／ Ceci est un dictionnaire.","これはじしょです。／ Ceci est un dictionnaire.","2","N5","true"
"g007","この／その／あの～","この／その／あの～","Déterminer un nom selon sa position.","この／その／あの + nom","あの人はだれですか。／ Qui est cette personne là-bas ?","あのひとはだれですか。／ Qui est cette personne là-bas ?","2","N5","true"
"g008","～は＜人＞のです","～は＜ひと＞のです","Indiquer le propriétaire d’un objet en omettant le nom déjà connu.","Nom + は + personne + の + です","この傘はわたしのです。／ Ce parapluie est le mien.","このかさはわたしのです。／ Ce parapluie est le mien.","2","N5","true"
"g009","そうです／そうじゃありません","そうです／そうじゃありません","Confirmer ou corriger une information.","はい、そうです／いいえ、そうじゃありません","これは本ですか。はい、そうです。／ C’est un livre ? Oui.","これはほんですか。はい、そうです。／ C’est un livre ? Oui.","2","N5","true"
"g010","ここ／そこ／あそこは～です","ここ／そこ／あそこは～です","Localiser un lieu.","ここ／そこ／あそこ + は + lieu + です","ここは食堂です。／ Ici, c’est la cantine.","ここはしょくどうです。／ Ici, c’est la cantine.","3","N5","true"
"g011","～はどこですか","～はどこですか","Demander où se trouve une personne, un objet ou un lieu.","Nom + は + どこ + ですか","トイレはどこですか。／ Où sont les toilettes ?","トイレはどこですか。／ Où sont les toilettes ?","3","N5","true"
"g012","～は～の～です","～は～の～です","Donner l’origine, la marque ou l’organisation liée à un objet.","Nom A + は + nom B + の + nom C + です","これは日本の車です。／ C’est une voiture japonaise.","これはにほんのくるまです。／ C’est une voiture japonaise.","3","N5","true"
"g013","～はいくらですか","～はいくらですか","Demander un prix.","Nom + は + いくら + ですか","この時計はいくらですか。／ Combien coûte cette montre ?","このとけいはいくらですか。／ Combien coûte cette montre ?","3","N5","true"
